38
5
-2 5
-2 -5
2 -5
2 5
-2 5
2
0 5
0 -5
6
-2 5
2 5
2 0
-2 0
-2 -5
2 -5
7
-2 5
2 5
2 0
-2 0
2 0
2 -5
-2 -5
4
2 -5
2 5
-2 0
2 0
6
2 5
-2 5
-2 0
2 0
2 -5
-2 -5
6
2 5
-2 5
 -2 -5
2 -5
2 0
-2 0
3
-2 5
2 5
-2 -5
7
-2 5
-2 -5
2 -5
2 5
-2 5
-2 0
2 0
5
2 -5
2 5
-2 5
-2 0
2 0
6
-2 -5
-2 5
2 5
2 -5
2 0
-2 0
10
-2 0
-2 -5
2 -5
2 -3
0 0
2 3
2 5
-2 5
-2 0
0 0
4
2 5
-2 5
-2 -5
2 -5
7
-2 -5
0 -5
2 -3
2 3
0 5
-2 5
-2 -5
7
2 5
-2 5
-2 0
0 0
-2 0
-2 -5
2 -5
6
2 5
-2 5
-2 0
0 0
-2 0
-2 -5
6
2 5
-2 5
-2 -5
2 -5
2 0
0 0
6
-2 5
-2 -5
-2 0
2 0
2 -5
2 5
2
0 5
0 -5
4
2 5
2 -5
-2 -5
-2 -3
6
2 5
-2 0
2 -5
-2 0
-2 5
-2 -5
3
-2 5
-2 -5
2 -5
5
-2 -5
-2 5
0 3
2 5
2 -5
4
-2 -5
-2 5
2 -5
2 5
9
-2 -3
-1 -5
1 -5
2 -3
2 3
1 5
-1 5
-2 3
-2 -3
5
-2 -5
-2 5
2 5
2 0
-2 0
9
1 -2
2 0
2 5
-2 5
-2 -5
0 -5
1 -2
0 0
2 -5
6
-2 -5
-2 5
2 5
2 0
-2 0
2 -5
6
2 5
-2 5
-2 0
2 0
2 -5
-2 -5
4
0 -5
0 5
-2 5
2 5
4
-2 5
-2 -5
2 -5
2 5
3
-2 5
0 -5
2 5
5
-2 5
-2 -5
0 -2
2 -5
2 5
5
-2 -5
2 5
0 0
-2 5
2 -5
8
-2 5
-2 3
0 0
2 3
2 5
2 3
0 0
0 -5
4
-2 5
2 5
-2 -5
2 -5
2
-2 -5
2 -5
2
-2 -5
-2 -5
